sample_id,source,dest,B_mbps,algo,mean_total_cost,std_total_cost,best_total_cost,worst_total_cost,mean_delay,std_delay,mean_rel_cost,std_rel_cost,mean_res_cost,std_res_cost,mean_path_len,std_path_len,mean_runtime_ms,std_runtime_ms
1,163,28,125,baseline,11.818052870266035,0.0,11.818052870266035,11.818052870266035,11.673026331438175,0.0,0.13947360228488231,0.0,0.0055529365429788065,0.0,3,0.0,4.873125231824815,0.9022387480600361
1,163,28,125,ga,11.818052870266035,0.0,11.818052870266035,11.818052870266035,11.673026331438175,0.0,0.13947360228488231,0.0,0.0055529365429788065,0.0,3,0.0,8.49652518518269,1.4417321347294627
1,163,28,125,sa,16.981248347498372,0.0,16.981248347498372,16.981248347498372,16.89572566097769,0.0,0.08450248040129259,0.0,0.001020206119392212,0.0,2,0.0,1.5045414096675813,0.29360456546807717
2,189,70,350,baseline,15.130727719893361,0.0,15.130727719893361,15.130727719893361,14.995380402968443,0.0,0.13058536541353286,0.0,0.004761951511385504,0.0,3,0.0,7.167366601061076,1.4602604274252287
2,189,70,350,ga,14.688996417099036,0.0,14.688996417099036,14.688996417099036,14.48837664056319,0.0,0.1974354675035234,0.0,0.0031843090323219574,0.0,3,0.0,6.866882985923439,0.7700311507091591
2,189,70,350,sa,19.40789043579791,0.0,19.40789043579791,19.40789043579791,19.277038934801453,0.0,0.12129592606634555,0.0,0.009555574930111947,0.0,3,0.0,3.924133407417685,0.013698505616002879
3,57,35,854,baseline,13.797006075089177,0.0,13.797006075089177,13.797006075089177,13.647408016801677,0.0,0.14734886839948613,0.0,0.0022491898880144514,0.0,3,0.0,4.468800185713917,0.24512068467252776
3,57,35,854,ga,13.719293459039541,0.0,13.719293459039541,13.719293459039541,13.660732100257881,0.0,0.050600313935679896,0.0,0.007961044845978541,0.0,2,0.0,4.8420249950140715,0.04629682993731686
3,57,35,854,sa,13.719293459039541,0.0,13.719293459039541,13.719293459039541,13.660732100257881,0.0,0.050600313935679896,0.0,0.007961044845978541,0.0,2,0.0,0.8149833884090185,0.009874602037802906
4,26,173,858,baseline,16.369536863134236,0.0,16.369536863134236,16.369536863134236,16.17518958956892,0.0,0.1878772410389499,0.0,0.006470032526364594,0.0,4,0.0,5.519083398394287,0.05277004085273304
4,26,173,858,ga,15.886050793204308,0.0,15.886050793204308,15.886050793204308,15.721524109643479,0.0,0.15829105558999462,0.0,0.006235627970834621,0.0,3,0.0,7.011616788804531,0.11534977734728291
4,26,173,858,sa,23.351330401215396,0.0,23.351330401215396,23.351330401215396,23.207316589473216,0.0,0.13775390552324546,0.0,0.006259906218937632,0.0,3,0.0,5.4721418069675565,0.013972064569998036
5,228,139,189,baseline,14.71600129697846,0.0,14.71600129697846,14.71600129697846,14.590497798838408,0.0,0.11640571168335533,0.0,0.009097786456695294,0.0,4,0.0,5.680841789580882,0.048469693274757454
5,228,139,189,ga,14.566944268102082,0.0,14.566944268102082,14.566944268102082,14.469060154804936,0.0,0.09473206741855865,0.0,0.0031520458785882955,0.0,3,0.0,6.81657480308786,0.01331627276404792
5,228,139,189,sa,20.158838934149045,0.0,20.158838934149045,20.158838934149045,20.05859900862821,0.0,0.09768189477377423,0.0,0.0025580307470617833,0.0,3,0.0,5.199316795915365,0.05241781286023954
6,151,108,132,baseline,9.406007645542239,0.0,9.406007645542239,9.406007645542239,9.335068873910132,0.0,0.06981873879888281,0.0,0.0011200328332238326,0.0,2,0.0,1.7264582100324333,0.049819436568794145
6,151,108,132,ga,9.406007645542239,0.0,9.406007645542239,9.406007645542239,9.335068873910132,0.0,0.06981873879888281,0.0,0.0011200328332238326,0.0,2,0.0,4.887166793923825,0.10376970562401751
6,151,108,132,sa,9.406007645542239,0.0,9.406007645542239,9.406007645542239,9.335068873910132,0.0,0.06981873879888281,0.0,0.0011200328332238326,0.0,2,0.0,0.8043169975280762,0.0040057640600453795
7,7,23,323,baseline,9.472027146443699,0.0,9.472027146443699,9.472027146443699,9.378790146821101,0.0,0.0919641169669272,0.0,0.0012728826556701253,0.0,2,0.0,2.4318500072695315,0.04675147379973497
7,7,23,323,ga,9.472027146443699,0.0,9.472027146443699,9.472027146443699,9.378790146821101,0.0,0.0919641169669272,0.0,0.0012728826556701253,0.0,2,0.0,4.872799979057163,0.07131223492021702
7,7,23,323,sa,9.472027146443699,0.0,9.472027146443699,9.472027146443699,9.378790146821101,0.0,0.0919641169669272,0.0,0.0012728826556701253,0.0,2,0.0,0.8031997713260353,0.0066528621011126225
8,59,129,716,baseline,11.688192676226027,0.0,11.688192676226027,11.688192676226027,11.541102390561118,0.0,0.1444275621604798,0.0,0.00266272350442947,0.0,3,0.0,1.5591417904943228,0.06788114034011117
8,59,129,716,ga,11.688192676226027,0.0,11.688192676226027,11.688192676226027,11.541102390561118,0.0,0.1444275621604798,0.0,0.00266272350442947,0.0,3,0.0,6.627566600218415,0.09653091952549772
8,59,129,716,sa,13.199656098317208,0.0,13.199656098317208,13.199656098317208,13.098371030777617,0.0,0.09845989578768867,0.0,0.0028251717519004182,0.0,2,0.0,0.8167499909177423,0.010216932580279132
9,6,143,303,baseline,13.423505477889288,0.0,13.423505477889288,13.423505477889288,13.265069499285183,0.0,0.14924250454138135,0.0,0.009193474062722803,0.0,3,0.0,5.262883601244539,0.06634734947015235
9,6,143,303,ga,13.423505477889288,0.0,13.423505477889288,13.423505477889288,13.265069499285183,0.0,0.14924250454138135,0.0,0.009193474062722803,0.0,3,0.0,6.8753995932638645,0.08473966267627904
9,6,143,303,sa,22.733359678699,0.0,22.733359678699,22.733359678699,22.60237293575102,0.0,0.12582999973276143,0.0,0.005156743215216607,0.0,3,0.0,4.939483397174627,0.03096673929952008
10,183,166,818,baseline,12.214695477894159,0.0,12.214695477894159,12.214695477894159,12.064216924279105,0.0,0.14726953712003474,0.0,0.0032090164950184267,0.0,3,0.0,3.1514917965978384,0.01416828319804017
10,183,166,818,ga,12.214695477894159,0.0,12.214695477894159,12.214695477894159,12.064216924279105,0.0,0.14726953712003474,0.0,0.0032090164950184267,0.0,3,0.0,7.078191603068262,0.05759921752637467
10,183,166,818,sa,30.979564951721105,0.0,30.979564951721105,30.979564951721105,30.881228833786274,0.0,0.09473632137716513,0.0,0.00359979655766488,0.0,3,0.0,5.286958196666092,0.01544562408402414
11,139,107,325,baseline,11.632246161672231,0.0,11.632246161672231,11.632246161672231,11.51284675983538,0.0,0.11549120605581868,0.0,0.003908195781033853,0.0,3,0.0,1.4381497981958091,0.021538724979386494
11,139,107,325,ga,13.662726346095882,0.0,13.662726346095882,13.662726346095882,13.513067511935624,0.0,0.14692708626835424,0.0,0.0027317478919031135,0.0,3,0.0,6.680491589941084,0.06299753421078914
11,139,107,325,sa,22.36476279505021,0.0,22.36476279505021,22.36476279505021,22.206968493837945,0.0,0.15302304412089837,0.0,0.004771257091365823,0.0,3,0.0,4.180158185772598,0.011200019156792638
12,114,150,384,baseline,11.635968132552714,0.0,11.635968132552714,11.635968132552714,11.497822887851825,0.0,0.12786144167819202,0.0,0.010283803022695902,0.0,3,0.0,3.6616999888792634,0.15758147335271475
12,114,150,384,ga,16.15351234388775,0.0,16.15351234388775,16.15351234388775,16.02336439967584,0.0,0.12052896211454614,0.0,0.009618982097366183,0.0,3,0.0,6.924724986311048,0.07061361796628199
12,114,150,384,sa,18.237143856949896,0.0,18.237143856949896,18.237143856949896,18.12088378642885,0.0,0.11342336957198042,0.0,0.0028367009490664627,0.0,3,0.0,5.250508396420628,0.01756638894915583
